year,canonical_branch,category,quota,seat_count
2025,CHEMICAL ENGG.,SC(PH),HOME STATE,1
2025,CHEMICAL ENGG.,ST,HOME STATE,1
2025,CHEMICAL ENGG.,ST(GIRL),HOME STATE,0
2025,CHEMICAL ENGG.,ST(AF),HOME STATE,0
2025,CHEMICAL ENGG.,ST(FF),HOME STATE,0
2025,CHEMICAL ENGG.,ST(PH),HOME STATE,0
2025,CHEMICAL ENGG.,EWS,HOME STATE,5
2025,CHEMICAL ENGG.,EWS(GIRL),HOME STATE,2
2025,CHEMICAL ENGG.,EWS(AF),HOME STATE,0
2025,CHEMICAL ENGG.,EWS(FF),HOME STATE,0
2025,CHEMICAL ENGG.,EWS(PH),HOME STATE,1
2025,CHEMICAL ENGG.,OPEN,TFW,3
2025,CHEMICAL ENGG.,OPEN,OTHER STATE,2
2025,CHEMICAL ENGG.,BC,OTHER STATE,1
2025,CHEMICAL ENGG.,SC,OTHER STATE,0
2025,CHEMICAL ENGG.,ST,OTHER STATE,0
2025,BIO CHEMICAL ENGG.,OPEN,HOME STATE,16
2025,BIO CHEMICAL ENGG.,OPEN(GIRL),HOME STATE,5
2025,BIO CHEMICAL ENGG.,OPEN(AF),HOME STATE,1
2025,BIO CHEMICAL ENGG.,OPEN(FF),HOME STATE,0
2025,BIO CHEMICAL ENGG.,OPEN(PH),HOME STATE,1
2025,BIO CHEMICAL ENGG.,BC,HOME STATE,10
2025,BIO CHEMICAL ENGG.,BC(GIRL),HOME STATE,3
2025,BIO CHEMICAL ENGG.,BC(AF),HOME STATE,0
2025,BIO CHEMICAL ENGG.,BC(FF),HOME STATE,1
2025,BIO CHEMICAL ENGG.,BC(PH),HOME STATE,1
2025,BIO CHEMICAL ENGG.,SC,HOME STATE,8
2025,BIO CHEMICAL ENGG.,SC(GIRL),HOME STATE,3
2025,BIO CHEMICAL ENGG.,SC(AF),HOME STATE,1
2025,BIO CHEMICAL ENGG.,SC(FF),HOME STATE,0
2025,BIO CHEMICAL ENGG.,SC(PH),HOME STATE,0
2025,BIO CHEMICAL ENGG.,ST,HOME STATE,1
2025,BIO CHEMICAL ENGG.,ST(GIRL),HOME STATE,0
2025,BIO CHEMICAL ENGG.,ST(AF),HOME STATE,0
2025,BIO CHEMICAL ENGG.,ST(FF),HOME STATE,0
2025,BIO CHEMICAL ENGG.,ST(PH),HOME STATE,0
2025,BIO CHEMICAL ENGG.,EWS,HOME STATE,5
2025,BIO CHEMICAL ENGG.,EWS(GIRL),HOME STATE,1
2025,BIO CHEMICAL ENGG.,EWS(AF),HOME STATE,0
2025,BIO CHEMICAL ENGG.,EWS(FF),HOME STATE,0
2025,BIO CHEMICAL ENGG.,EWS(PH),HOME STATE,0
2025,BIO CHEMICAL ENGG.,OPEN,TFW,3
2025,BIO CHEMICAL ENGG.,OPEN,OTHER STATE,1
2025,BIO CHEMICAL ENGG.,BC,OTHER STATE,1
2025,BIO CHEMICAL ENGG.,SC,OTHER STATE,1
2025,BIO CHEMICAL ENGG.,ST,OTHER STATE,0
2025,FOOD TECHNOLOGY,OPEN,HOME STATE,15
2025,FOOD TECHNOLOGY,OPEN(GIRL),HOME STATE,5
2025,FOOD TECHNOLOGY,OPEN(AF),HOME STATE,1
2025,FOOD TECHNOLOGY,OPEN(FF),HOME STATE,1
2025,FOOD TECHNOLOGY,OPEN(PH),HOME STATE,1
2025,FOOD TECHNOLOGY,BC,HOME STATE,11
2025,FOOD TECHNOLOGY,BC(GIRL),HOME STATE,3
2025,FOOD TECHNOLOGY,BC(AF),HOME STATE,1
2025,FOOD TECHNOLOGY,BC(FF),HOME STATE,0
2025,FOOD TECHNOLOGY,BC(PH),HOME STATE,0
2025,FOOD TECHNOLOGY,SC,HOME STATE,8
2025,FOOD TECHNOLOGY,SC(GIRL),HOME STATE,3
2025,FOOD TECHNOLOGY,SC(AF),HOME STATE,1
2025,FOOD TECHNOLOGY,SC(FF),HOME STATE,0
2025,FOOD TECHNOLOGY,SC(PH),HOME STATE,0
2025,FOOD TECHNOLOGY,ST,HOME STATE,0
2025,FOOD TECHNOLOGY,ST(GIRL),HOME STATE,1
2025,FOOD TECHNOLOGY,ST(AF),HOME STATE,0
2025,FOOD TECHNOLOGY,ST(FF),HOME STATE,0
2025,FOOD TECHNOLOGY,ST(PH),HOME STATE,0
2025,FOOD TECHNOLOGY,EWS,HOME STATE,4
2025,FOOD TECHNOLOGY,EWS(GIRL),HOME STATE,2
2025,FOOD TECHNOLOGY,EWS(AF),HOME STATE,0
2025,FOOD TECHNOLOGY,EWS(FF),HOME STATE,0
2025,FOOD TECHNOLOGY,EWS(PH),HOME STATE,0
2025,FOOD TECHNOLOGY,OPEN,TFW,3
2025,FOOD TECHNOLOGY,OPEN,OTHER STATE,1
2025,FOOD TECHNOLOGY,BC,OTHER STATE,1
2025,FOOD TECHNOLOGY,SC,OTHER STATE,1
2025,FOOD TECHNOLOGY,ST,OTHER STATE,0
2025,OIL TECHNOLOGY,OPEN,HOME STATE,16
2025,OIL TECHNOLOGY,OPEN(GIRL),HOME STATE,4
2025,OIL TECHNOLOGY,OPEN(AF),HOME STATE,2
2025,OIL TECHNOLOGY,OPEN(FF),HOME STATE,0
2025,OIL TECHNOLOGY,OPEN(PH),HOME STATE,1
2025,OIL TECHNOLOGY,BC,HOME STATE,10
2025,OIL TECHNOLOGY,BC(GIRL),HOME STATE,3
2025,OIL TECHNOLOGY,BC(AF),HOME STATE,1
2025,OIL TECHNOLOGY,BC(FF),HOME STATE,0
2025,OIL TECHNOLOGY,BC(PH),HOME STATE,1
2025,OIL TECHNOLOGY,SC,HOME STATE,8
2025,OIL TECHNOLOGY,SC(GIRL),HOME STATE,3
2025,OIL TECHNOLOGY,SC(AF),HOME STATE,1
2025,OIL TECHNOLOGY,SC(FF),HOME STATE,0
2025,OIL TECHNOLOGY,SC(PH),HOME STATE,0
2025,OIL TECHNOLOGY,ST,HOME STATE,1
2025,OIL TECHNOLOGY,ST(GIRL),HOME STATE,0
2025,OIL TECHNOLOGY,ST(AF),HOME STATE,0
2025,OIL TECHNOLOGY,ST(FF),HOME STATE,0
2025,OIL TECHNOLOGY,ST(PH),HOME STATE,0
2025,OIL TECHNOLOGY,EWS,HOME STATE,5
2025,OIL TECHNOLOGY,EWS(GIRL),HOME STATE,1
2025,OIL TECHNOLOGY,EWS(AF),HOME STATE,0
2025,OIL TECHNOLOGY,EWS(FF),HOME STATE,0
2025,OIL TECHNOLOGY,EWS(PH),HOME STATE,0
2025,OIL TECHNOLOGY,OPEN,TFW,3
2025,OIL TECHNOLOGY,OPEN,OTHER STATE,1
2025,OIL TECHNOLOGY,BC,OTHER STATE,1
2025,OIL TECHNOLOGY,SC,OTHER STATE,1
2025,OIL TECHNOLOGY,ST,OTHER STATE,0
2025,PAINT TECHNOLOGY,OPEN,HOME STATE,16
2025,PAINT TECHNOLOGY,OPEN(GIRL),HOME STATE,4
2025,PAINT TECHNOLOGY,OPEN(AF),HOME STATE,1
2025,PAINT TECHNOLOGY,OPEN(FF),HOME STATE,0
2025,PAINT TECHNOLOGY,OPEN(PH),HOME STATE,1
2025,PAINT TECHNOLOGY,BC,HOME STATE,11
2025,PAINT TECHNOLOGY,BC(GIRL),HOME STATE,3
2025,PAINT TECHNOLOGY,BC(AF),HOME STATE,1
2025,PAINT TECHNOLOGY,BC(FF),HOME STATE,0
2025,PAINT TECHNOLOGY,BC(PH),HOME STATE,1
2025,PAINT TECHNOLOGY,SC,HOME STATE,8
2025,PAINT TECHNOLOGY,SC(GIRL),HOME STATE,2
2025,PAINT TECHNOLOGY,SC(AF),HOME STATE,1
2025,PAINT TECHNOLOGY,SC(FF),HOME STATE,0
2025,PAINT TECHNOLOGY,SC(PH),HOME STATE,1
2025,PAINT TECHNOLOGY,ST,HOME STATE,1
2025,PAINT TECHNOLOGY,ST(GIRL),HOME STATE,0
2025,PAINT TECHNOLOGY,ST(AF),HOME STATE,0
2025,PAINT TECHNOLOGY,ST(FF),HOME STATE,0
2025,PAINT TECHNOLOGY,ST(PH),HOME STATE,0
2025,PAINT TECHNOLOGY,EWS,HOME STATE,4
