year,round,branch,category,quota,opening_rank,closing_rank
2023,Round 2,PAINT TECHNOLOGY,EWS(GIRL),Home State,81005,81005
2023,Round 2,PAINT TECHNOLOGY,EWS,Home State,77964,83962
2023,Round 2,PAINT TECHNOLOGY,OPEN(AF),Home State,116546,116546
2023,Round 2,PAINT TECHNOLOGY,OPEN GIRL,Home State,72281,80692
2023,Round 2,PAINT TECHNOLOGY,OPEN,Home State,66577,77664
2023,Round 2,PAINT TECHNOLOGY,SC(GIRL),Home State,259783,259783
2023,Round 2,PAINT TECHNOLOGY,SC,Home State,192431,244157
2023,Round 2,PAINT TECHNOLOGY,ST,Home State,516543,516543
2023,Round 2,PAINT TECHNOLOGY (FW),OPEN (TF),Home State,60719,70322
2023,Round 2,CIVIL ENGG.,OPEN,All India,46607,46607
2023,Round 2,CIVIL ENGG.,SC,All India,207044,207044
2023,Round 2,CIVIL ENGG.,BC(AF),Home State,98059,98059
2023,Round 2,CIVIL ENGG.,BC(GIRL),Home State,84814,90384
2023,Round 2,CIVIL ENGG.,BC,Home State,61337,67884
2023,Round 2,CIVIL ENGG.,EWS(AF),Home State,123840,123840
2023,Round 2,CIVIL ENGG.,EWS(GIRL),Home State,75033,75033
2023,Round 2,CIVIL ENGG.,EWS,Home State,58959,65317
2023,Round 2,CIVIL ENGG.,OPEN(AF),Home State,91208,91208
2023,Round 2,CIVIL ENGG.,OPEN(FF),Home State,333170,333170
2023,Round 2,CIVIL ENGG.,OPEN GIRL,Home State,67573,74415
2023,Round 2,CIVIL ENGG.,OPEN,Home State,50582,58488
2023,Round 2,CIVIL ENGG.,SC(AF),Home State,916556,916556
2023,Round 2,CIVIL ENGG.,SC(GIRL),Home State,196212,215807
2023,Round 2,CIVIL ENGG.,SC,Home State,164569,197925
2023,Round 2,CIVIL ENGG.,ST,Home State,451915,464713
2023,Round 2,CIVIL ENGG. (FW),OPEN (TF),Home State,52769,52769
2023,Round 2,COMPUTER SC. & ENGG.,BC,All India,32304,32304
2023,Round 2,COMPUTER SC. & ENGG.,OPEN,All India,20263,21994
2023,Round 2,COMPUTER SC. & ENGG.,BC(AF),Home State,48604,48604
2023,Round 2,COMPUTER SC. & ENGG.,BC(FF),Home State,185684,185684
2023,Round 2,COMPUTER SC. & ENGG.,BC(GIRL),Home State,47020,50575
2023,Round 2,COMPUTER SC. & ENGG.,BC,Home State,30513,33684
2023,Round 2,COMPUTER SC. & ENGG.,BC(PH),Home State,471418,471418
2023,Round 2,COMPUTER SC. & ENGG.,EWS(GIRL),Home State,34199,34199
2023,Round 2,COMPUTER SC. & ENGG.,EWS,Home State,24987,26236
2023,Round 2,COMPUTER SC. & ENGG.,EWS(PH),Home State,790751,790751
2023,Round 2,COMPUTER SC. & ENGG.,OPEN(AF),Home State,32806,35123
2023,Round 2,COMPUTER SC. & ENGG.,OPEN GIRL,Home State,25761,32734
2023,Round 2,COMPUTER SC. & ENGG.,OPEN,Home State,19931,22335
2023,Round 2,COMPUTER SC. & ENGG.,OPEN(PH),Home State,267993,280903
2023,Round 2,COMPUTER SC. & ENGG.,SC(AF),Home State,211934,211934
2023,Round 2,COMPUTER SC. & ENGG.,SC(GIRL),Home State,128399,129490
2023,Round 2,COMPUTER SC. & ENGG.,SC,Home State,74990,104658
2023,Round 2,ELECTRICAL ENGG.,BC,All India,52508,52508
2023,Round 2,ELECTRICAL ENGG.,SC,All India,126886,126886
2023,Round 2,ELECTRICAL ENGG.,BC(GIRL),Home State,66903,76200
2023,Round 2,ELECTRICAL ENGG.,BC,Home State,47726,52513
2023,Round 2,ELECTRICAL ENGG.,EWS(AF),Home State,104040,104040
2023,Round 2,ELECTRICAL ENGG.,EWS(GIRL),Home State,53299,54430
