Sr.No,Round ▲▼,Institute ▲▼,Program ▲▼,Quota ▲▼,Category ▲▼,Opening Rank ▲▼,Closing Rank ▲▼,Round_Name
139,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG. (FW),Home State,OPEN (TF),25525,34779,Round 1
140,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,All India,BC,26882,26882,Round 1
141,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,All India,OPEN,18017,24625,Round 1
142,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,BC(AF),48604,48604,Round 1
143,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,BC(FF),185684,185684,Round 1
144,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,BC(GIRL),47876,51157,Round 1
145,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,BC,32261,39211,Round 1
146,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,BC(PH),532295,532295,Round 1
147,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,EWS(GIRL),38761,38761,Round 1
148,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,EWS,31836,34118,Round 1
149,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,EWS(PH),839320,839320,Round 1
150,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,OPEN(AF),37681,44767,Round 1
151,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,OPEN(FF),66499,66499,Round 1
152,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,OPEN GIRL,30038,33882,Round 1
153,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,OPEN,22335,30077,Round 1
154,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,OPEN(PH),267993,267993,Round 1
155,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,SC(AF),211934,211934,Round 1
156,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,SC(GIRL),134581,158633,Round 1
157,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,SC,98442,119903,Round 1
158,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,ST(GIRL),227429,227429,Round 1
159,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,ST,271959,271959,Round 1
160,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG. (FW),Home State,OPEN (TF),26372,27556,Round 1
161,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,All India,BC,46433,46433,Round 1
162,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,All India,OPEN,34649,34649,Round 1
163,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,All India,SC,148398,148398,Round 1
164,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,BC(AF),71019,71019,Round 1
165,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,BC(GIRL),59519,66815,Round 1
166,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,BC,45346,52129,Round 1
167,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,BC(PH),709651,709651,Round 1
168,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,EWS(AF),104040,104040,Round 1
169,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,EWS(GIRL),56936,56936,Round 1
170,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,EWS,43522,45623,Round 1
171,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,OPEN(AF),58029,58029,Round 1
172,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,OPEN(FF),228470,228470,Round 1
173,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,OPEN GIRL,44473,51377,Round 1
174,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,OPEN,35122,41455,Round 1
175,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,OPEN(PH),479605,588521,Round 1
176,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,SC(AF),233368,233368,Round 1
177,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,SC(GIRL),178320,204072,Round 1
178,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,SC,135948,149400,Round 1
179,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,ST,323907,323907,Round 1
180,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG. (FW),Home State,OPEN (TF),35580,44127,Round 1
181,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,All India,BC,54583,54583,Round 1
182,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,All India,OPEN,31114,33952,Round 1
183,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,BC(AF),73551,73551,Round 1
184,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,BC(GIRL),53658,69087,Round 1
185,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,BC,47832,58066,Round 1
186,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,EWS(GIRL),60500,63565,Round 1
